F1,F2,F3,F4,cluster
-0.0863,-0.1794,-1.7963,-1.0529,3
0.1825,-0.2002,-0.0341,0.2383,4
0.1825,-0.2002,-0.0341,0.2383,4
-0.1935,-0.0033,0.5289,0.9137,4
0.3064,-0.2173,0.6082,0.1718,4
-0.008,0.3979,0.4894,0.4402,4
0.292,-0.0517,0.5572,0.276,4
-0.2245,-0.448,0.0431,0.3121,4
-0.0919,-0.1724,0.3239,0.221,4
0.4922,-0.4497,1.4464,-0.6297,4
-1.5184,0.794,-0.8654,1.6028,0
-0.112,-0.3833,0.2679,1.258,4
1.5646,-2.4592,-2.2061,1.786,4
-1.0508,2.6232,-1.828,-2.0004,2
-2.0476,2.475,-1.095,-0.2664,0
0.8251,-1.8335,1.2829,-0.0643,4
-0.9195,-0.5838,-0.2939,0.7097,0
-0.4724,-0.3791,1.723,-1.2877,1
-0.3105,0.0003,-0.17,0.0914,4
-0.8987,1.0059,-1.4054,1.5941,0
-1.1998,0.1707,-0.3391,0.8851,0
-0.6281,0.1271,1.1045,-1.1382,1
-0.2614,0.2259,-1.5054,1.281,0
-0.3538,-0.2303,-1.4184,0.6687,0
-1.4352,1.7013,-0.5685,-0.196,0
0.657,-1.1033,-1.52,1.2963,0
0.3413,-0.5612,0.4837,-0.4813,4
-0.194,-0.2877,1.1444,-1.3681,1
0.765,-1.1747,-0.243,0.4041,4
2.2555,-2.5024,0.4366,0.2927,4
-0.9352,0.8138,0.2745,-0.187,1
0.5221,-0.3276,0.9348,-0.4891,4
2.0811,-2.692,-0.6045,0.2412,4
0.8248,-1.1499,0.1774,0.1586,4
-0.7132,-0.8171,1.0396,0.3448,4
-1.7079,1.05,0.9783,-1.1703,1
0.4933,-0.8664,-0.5802,0.9803,4
0.8814,-2.2181,-0.5882,1.8467,4
0.2898,-1.0938,-0.3781,-0.1569,4
-0.5591,-0.3681,0.179,-0.5181,1
0.6849,-0.9638,0.7579,0.0011,4
-0.4759,0.2339,0.8392,-0.0945,1
-0.3575,1.6922,1.6652,1.6579,4
0.2101,-0.5995,0.4699,-0.3157,4
-0.3925,0.3725,-0.7639,1.5337,0
1.0685,-0.7361,0.1082,0.222,4
-0.0398,0.2272,-1.3567,1.6696,0
-0.1698,0.1238,0.6358,-0.6624,1
0.5807,-0.6183,-0.1143,0.8316,4
-0.464,-0.0198,-0.8754,1.6493,0
0.8239,-0.4242,0.1393,-0.0138,4
-0.5129,-0.0689,0.6309,-0.4088,1
0.9488,-0.881,1.1133,-0.2636,4
-0.4631,-0.367,-0.4755,0.7026,0
